osm_id,lon,lat,building_tag,name,용도분류,판정단계,판정근거
w355885582,126.986644,37.569110,yes,,상업·업무,L4,내부 POI 1개: 샤오바오우육면
w355885583,126.986787,37.569122,yes,,미분류,-,OSM 내 용도 근거 없음
w355885584,126.986641,37.568982,yes,,상업·업무,L4,내부 POI 1개: 철로만든돼지
w355885585,126.986785,37.568935,yes,,상업·업무,L4,"내부 POI 2개: 참토우, 장혁민의부대찌개"
w355891989,126.985846,37.568692,yes,,상업·업무,L4,"내부 POI 2개: 불이아, CU"
w355891994,126.985982,37.568777,yes,,상업·업무,L4,"내부 POI 2개: 짬뽕지존, 나무그늘"
w355891998,126.985964,37.568628,yes,,미분류,-,OSM 내 용도 근거 없음
w355892000,126.986118,37.568759,yes,,상업·업무,L4,내부 POI 1개: 이베리코흑돼지
w355892002,126.986510,37.568712,yes,,상업·업무,L4,내부 POI 1개: 소한마리정육식당
w355892004,126.986301,37.568727,yes,,공공·교육,L4,내부 POI 1개: 서울종로경찰서관수파출소
w355892007,126.986046,37.568605,yes,,상업·업무,L4,내부 POI 1개: 이강순실비집
w355892009,126.986173,37.568569,yes,,상업·업무,L4,내부 POI 1개: 황소고집
w355901258,126.986566,37.568577,retail,,상업·업무,L1,building=retail
w355901259,126.986721,37.568469,retail,,상업·업무,L1,building=retail
w355901260,126.986696,37.568793,yes,,상업·업무,L4,"내부 POI 2개: 이디야커피, 한사발포차"
w355901261,126.986719,37.568563,yes,,상업·업무,L4,"내부 POI 2개: 세븐일레븐, 살롱존씨"
w355901262,126.986066,37.569917,yes,,상업·업무,L4,"내부 POI 2개: Olive Young, (주)브로젝스"
w355901263,126.986238,37.569962,yes,,상업·업무,L4,내부 POI 1개: 카페드람브르
w355901264,126.986749,37.569960,yes,,미분류,-,OSM 내 용도 근거 없음
w355901265,126.986673,37.569837,yes,,미분류,-,OSM 내 용도 근거 없음
w355901266,126.985869,37.569714,yes,,상업·업무,L4,"내부 POI 3개: 더딤섬, 대림국수, 라보떼래쉬 종로점"
w355901267,126.985977,37.569688,yes,,미분류,-,OSM 내 용도 근거 없음
w355901268,126.986063,37.569689,yes,,상업·업무,L4,내부 POI 1개: 나주댁 육회랑전이랑
w355901269,126.986731,37.569683,yes,,상업·업무,L4,내부 POI 1개: 교대이층집
w355906396,126.985978,37.569390,yes,,상업·업무,L4,"내부 POI 4개: 세븐일레븐, 힘이나는커피생활, 교촌치킨"
w355906398,126.986313,37.569448,yes,,상업·업무,L4,"내부 POI 2개: 용공장, 헤리티지31호텔"
w355906399,126.986304,37.569283,yes,,미분류,-,OSM 내 용도 근거 없음
w355906400,126.986493,37.569476,yes,,상업·업무,L4,"내부 POI 2개: 자담치킨, 상구비어"
w355906401,126.986724,37.569473,yes,,상업·업무,L4,"내부 POI 3개: 동두천솥뚜껑삼겹살, 보드게임카페 레드버튼, 오징어청춘"
w355906402,126.986496,37.569352,yes,,미분류,-,OSM 내 용도 근거 없음
w355906403,126.986499,37.569237,yes,,상업·업무,L4,내부 POI 1개: 양연화로
w355906404,126.986738,37.569345,yes,,미분류,-,OSM 내 용도 근거 없음
w355906405,126.986746,37.569243,yes,,상업·업무,L4,내부 POI 1개: 이고집 쭈꾸미
w355906406,126.986974,37.569955,yes,,상업·업무,L4,내부 POI 1개: 마라공방
w355906407,126.987132,37.569956,commercial,,상업·업무,L1,building=commercial
w355906409,126.987009,37.569752,yes,,상업·업무,L4,내부 POI 1개: BHC치킨
w355906410,126.987307,37.569895,commercial,,상업·업무,L1,building=commercial
w355906411,126.987031,37.569828,yes,,상업·업무,L4,내부 POI 1개: 짱오락실
w355906412,126.987351,37.569711,retail,,상업·업무,L1,building=retail
w355906413,126.987017,37.569682,yes,,상업·업무,L4,"내부 POI 2개: 크라운호프, 한신포차"
w355906414,126.987190,37.569682,yes,,상업·업무,L4,"내부 POI 2개: 또보겠지떡볶이집, 생마차"
w355906415,126.986996,37.569491,yes,,상업·업무,L4,"내부 POI 2개: 굽네치킨, 셰익스BEER"
w355906416,126.987076,37.569259,yes,,상업·업무,L4,"내부 POI 2개: GS25, 장수촌풍천장어직판장"
w355906417,126.987244,37.569361,retail,,상업·업무,L1,building=retail
w355906418,126.987469,37.569536,yes,,상업·업무,L4,내부 POI 1개: 싸다김밥
w355906419,126.987458,37.569368,yes,,미분류,-,OSM 내 용도 근거 없음
w355906420,126.987044,37.569062,yes,,상업·업무,L4,내부 POI 1개: 준코노래타운
w355906421,126.986993,37.568896,yes,,상업·업무,L4,"내부 POI 3개: 오렌지라멘, 연안식당, 오프커피"
w355906422,126.987250,37.569070,yes,동일빌딩,상업·업무,L3,명칭 '동일빌딩' 중 '빌딩'
w355906423,126.987380,37.568892,yes,,상업·업무,L4,내부 POI 1개: 어게인리프레쉬
w355906424,126.987109,37.568676,yes,삼일빌딩,상업·업무,L2,amenity=bank
w355906425,126.987357,37.568750,yes,,상업·업무,L4,"내부 POI 2개: 등촌샤브칼국수, 서울익스프레스88"
w355920510,126.988053,37.569963,yes,,상업·업무,L4,내부 POI 1개: Burger King
w355920511,126.987980,37.569883,yes,프롬하츠커피 종로점,상업·업무,L2,amenity=cafe
w355920512,126.988202,37.569889,yes,,상업·업무,L4,"내부 POI 3개: Tom N Toms, 종로면선생, KUT"
w355920513,126.988059,37.569748,yes,,상업·업무,L4,"내부 POI 2개: 김밥천국, YBM어학원"
w355920514,126.988344,37.569865,yes,,상업·업무,L4,"내부 POI 2개: YBM어학원, The Coffee Bean & Tea Leaf"
w355920515,126.988019,37.569547,yes,,상업·업무,L4,내부 POI 1개: 롤링파스타
w355920516,126.987963,37.569461,yes,,상업·업무,L4,내부 POI 1개: 이디야커피
w355920517,126.988089,37.569459,yes,,미분류,-,OSM 내 용도 근거 없음
w355920518,126.988292,37.569535,yes,,상업·업무,L4,내부 POI 1개: YBM어학원
w355920519,126.988492,37.569561,yes,,상업·업무,L4,"내부 POI 2개: 뚝배기집, 코스트파이브커피"
w355920520,126.987946,37.569299,yes,,상업·업무,L4,내부 POI 1개: 돈까스잔치
w355933625,126.987970,37.569208,yes,,미분류,-,OSM 내 용도 근거 없음
w355933629,126.988013,37.569322,yes,,미분류,-,OSM 내 용도 근거 없음
w355933630,126.988110,37.569256,yes,,미분류,-,OSM 내 용도 근거 없음
w355933632,126.988183,37.569258,yes,,상업·업무,L4,내부 POI 1개: 종로 부티크k호텔
w355933634,126.988400,37.569367,yes,금호빌딩,상업·업무,L3,명칭 '금호빌딩' 중 '빌딩'
w355933636,126.988461,37.569244,yes,,미분류,-,OSM 내 용도 근거 없음
w355933637,126.988084,37.568954,yes,,미분류,-,OSM 내 용도 근거 없음
w355933639,126.987971,37.568719,yes,,상업·업무,L4,"내부 POI 3개: 청진식당, 종로은행나무집, 오카구라 라멘&이자카야"
w355933641,126.988090,37.568533,yes,파고다 타워,상업·업무,L2,amenity=language_school
w355933643,126.988321,37.569049,yes,,미분류,-,OSM 내 용도 근거 없음
w355933645,126.988158,37.568757,yes,,미분류,-,OSM 내 용도 근거 없음
w355933647,126.988153,37.568670,yes,,상업·업무,L4,내부 POI 1개: 미당순두부
w355933648,126.988266,37.568664,yes,,미분류,-,OSM 내 용도 근거 없음
w355933650,126.988373,37.568744,yes,,미분류,-,OSM 내 용도 근거 없음
w355933652,126.988468,37.569022,yes,,상업·업무,L4,내부 POI 1개: 그레인바운더리
w355933655,126.988560,37.569076,yes,,상업·업무,L4,내부 POI 1개: 때때로고기
w355933657,126.988405,37.568558,yes,,상업·업무,L4,내부 POI 1개: 라크슌
w355933659,126.988403,37.568432,yes,,상업·업무,L4,"내부 POI 3개: 종로참치, 곤지암할매소머리국밥, 1988옛날통닭"
w355933662,126.988621,37.568419,yes,,상업·업무,L4,"내부 POI 2개: 세븐일레븐, 포탈라"
